times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(0.0, 0.0, 0.0)|(1.0, 0.0, 0.0)
50.4|0.0|0.0|0.0|-134324.89136206155|-134323.3652552075
50.6|0.0|0.0|0.0|-134385.8977988633|-134385.04015203626
50.8|0.0|0.0|0.0|-134404.97861546723|-134402.3047753593
51.0|0.0|0.0|0.0|-134541.23913574286|-134540.48238854253
51.2|0.0|0.0|0.0|-134514.59590308115|-134513.9274430542
51.4|0.0|0.0|0.0|-134439.93017931303|-134438.49235963236
51.6|0.0|0.0|0.0|-134605.66778237367|-134603.2966411459
51.8|0.0|0.0|0.0|-134856.22678041045|-134846.94401475278
52.0|0.0|0.0|0.0|-134423.51631063697|-134421.70011735614
52.2|0.0|0.0|0.0|-134181.4283891809|-134178.6662618996
52.4|0.0|0.0|0.0|-134282.1064990093|-134279.74797023486
52.6|0.0|0.0|0.0|-134437.78599412405|-134436.53736124348
52.8|0.0|0.0|0.0|-134485.46738066408|-134482.81876546287
53.0|0.0|0.0|0.0|-134079.08779042462|-134071.9743667413
53.2|0.0|0.0|0.0|-134310.9972914861|-134309.4459597254
53.4|0.0|0.0|0.0|-134283.6719731289|-134282.80171384846
53.6|0.0|0.0|0.0|-134387.1635176847|-134384.86805117698
53.8|0.0|0.0|0.0|-134421.4774989366|-134421.08651288308
54.0|0.0|0.0|0.0|-134565.618899683|-134562.95767202842
54.2|0.0|0.0|0.0|-134676.71961005387|-134675.60971416003
54.4|0.0|0.0|0.0|-134528.93703205514|-134527.41092520108
54.6|0.0|0.0|0.0|-134448.3360114928|-134447.21350314558
54.8|0.0|0.0|0.0|-134654.3016801692|-134651.0098298477
55.0|0.0|0.0|0.0|-134417.8129855485|-134415.13914544057
55.2|0.0|0.0|0.0|-134202.93474953517|-134201.16900606765
55.4|0.0|0.0|0.0|-134278.47666936828|-134275.63886736694
55.6|0.0|0.0|0.0|-134141.8459623446|-134140.74867890408
55.8|0.0|0.0|0.0|-134233.36649932928|-134232.50885250221
56.0|0.0|0.0|0.0|-134287.54959887452|-134284.21991119298
56.2|0.0|0.0|0.0|-134246.63923977822|-134245.39060689765
56.4|0.0|0.0|0.0|-134480.51308751103|-134479.4031916172
56.6|0.0|0.0|0.0|-134302.28650937465|-134301.42886254756
56.8|0.0|0.0|0.0|-134306.87758618692|-134305.55327858627
57.0|0.0|0.0|0.0|-134056.74385408935|-134053.1871422477
57.2|0.0|0.0|0.0|-134000.5301495565|-133997.71757246184
57.4|0.0|0.0|0.0|-134410.04389702738|-134408.98445094688
57.6|0.0|0.0|0.0|-134012.95341609564|-134012.0831568152
57.8|0.0|0.0|0.0|-134173.5432502729|-134171.44958301858
58.0|0.0|0.0|0.0|-133748.51548999423|-133747.6452307138
58.2|0.0|0.0|0.0|-133734.60395396105|-133734.17513054752
58.4|0.0|0.0|0.0|-133975.4058545604|-133974.19505903983
58.6|0.0|0.0|0.0|-134001.43495771874|-134000.4511863583
58.8|0.0|0.0|0.0|-134033.59398716502|-134031.65166935077
59.0|0.0|0.0|0.0|-133897.3080574251|-133896.6269849448
59.2|0.0|0.0|0.0|-134020.859650336|-134019.52273028207
59.4|0.0|0.0|0.0|-134079.18534174858|-134077.23041148102
59.6|0.0|0.0|0.0|-134124.337924703|-134122.95055483567
59.8|0.0|0.0|0.0|-133913.76040375148|-133913.25590561793
60.0|0.0|0.0|0.0|-133901.2224362321|-133899.65849201803
60.2|0.0|0.0|0.0|-134027.50046722044|-134026.95813172683
60.4|0.0|0.0|0.0|-133977.98584340443|-133974.95885460306
60.6|0.0|0.0|0.0|-134452.7192320999|-134451.16790033915
60.8|0.0|0.0|0.0|-134360.9127008102|-134358.95777054265
61.0|0.0|0.0|0.0|-134421.52815155848|-134420.3425809446
61.2|0.0|0.0|0.0|-134365.0377781202|-134364.02878185306
61.4|0.0|0.0|0.0|-134337.15646875792|-134334.5835282767
61.6|0.0|0.0|0.0|-134168.1363672243|-134167.30394530392
61.8|0.0|0.0|0.0|-134264.06668732237|-134262.57841782834
62.0|0.0|0.0|0.0|-134178.80998407648|-134178.58295991636
62.2|0.0|0.0|0.0|-133951.5145703709|-133951.02268469066
62.4|0.0|0.0|0.0|-134222.56880508392|-134221.24449748328
62.6|0.0|0.0|0.0|-133849.49243531|-133847.32309333567
62.8|0.0|0.0|0.0|-133996.02391820497|-133995.21672119127
63.0|0.0|0.0|0.0|-134206.82062661514|-134202.16663133298
63.2|0.0|0.0|0.0|-134095.82079896066|-134094.9127023202
63.4|0.0|0.0|0.0|-134478.0844478181|-134476.81059003086
63.6|0.0|0.0|0.0|-134306.88335356527|-134304.865361031
63.8|0.0|0.0|0.0|-134261.61149498637|-134260.57727381255
64.0|0.0|0.0|0.0|-134453.71647812208|-134452.65703204158
64.2|0.0|0.0|0.0|-134299.3904990635|-134296.956295569
64.4|0.0|0.0|0.0|-134351.16314452776|-134350.3054977007
64.6|0.0|0.0|0.0|-134310.6656961641|-134309.29093875014
64.8|0.0|0.0|0.0|-134397.030873266|-134395.87052755876
65.0|0.0|0.0|0.0|-134244.79446410463|-134243.6215059441
65.2|0.0|0.0|0.0|-134533.21227577544|-134527.71324611953
65.4|0.0|0.0|0.0|-134491.34591902286|-134488.81081590164
65.6|0.0|0.0|0.0|-134276.14408605863|-134275.16031469818
65.8|0.0|0.0|0.0|-134235.7412438065|-134235.17368340623
66.0|0.0|0.0|0.0|-134147.5045202454|-134146.98740965847
66.2|0.0|0.0|0.0|-134382.70144673533|-134381.54110102812
66.4|0.0|0.0|0.0|-134307.3185076793|-134306.46086085224
66.6|0.0|0.0|0.0|-134343.15048761602|-134341.96491700213
66.8|0.0|0.0|0.0|-134287.1100088932|-134285.4956148658
67.0|0.0|0.0|0.0|-134004.10787996856|-134003.67905655503
67.2|0.0|0.0|0.0|-134074.7887598105|-134072.99779143633
67.4|0.0|0.0|0.0|-134463.3370000617|-134455.44160427136
67.6|0.0|0.0|0.0|-134311.5282503051|-134307.20217880973
67.8|0.0|0.0|0.0|-134377.819305056|-134375.29681438816
68.0|0.0|0.0|0.0|-134781.1353209464|-134778.7894046253
68.2|0.0|0.0|0.0|-134654.82779662186|-134652.49449275408
68.4|0.0|0.0|0.0|-134666.02931466541|-134658.15914378176
68.6|0.0|0.0|0.0|-134548.22900047718|-134546.22362039625
68.8|0.0|0.0|0.0|-134463.132212531|-134456.85121076807
69.0|0.0|0.0|0.0|-134959.61668958998|-134958.68336804287
69.2|0.0|0.0|0.0|-134889.44026396883|-134888.68351676848
69.4|0.0|0.0|0.0|-134679.55703213843|-134677.98047547103
69.6|0.0|0.0|0.0|-134714.64189430227|-134714.23829579545
69.8|0.0|0.0|0.0|-134525.86695749348|-134522.36069546515
70.0|0.0|0.0|0.0|-134638.09831698926|-134637.55598149565
70.2|0.0|0.0|0.0|-134392.39511348805|-134388.2077789794
70.4|0.0|0.0|0.0|-134378.6669051002|-134376.44711331252
70.6|0.0|0.0|0.0|-134691.60738906302|-134684.01469215282
70.8|0.0|0.0|0.0|-134545.80742846173|-134543.19665062052
71.0|0.0|0.0|0.0|-134431.58256757326|-134430.90149509293
71.2|0.0|0.0|0.0|-134628.134300714|-134626.55774404661
71.4|0.0|0.0|0.0|-134541.47413382027|-134540.31378811307
71.6|0.0|0.0|0.0|-134770.14332343236|-134768.98297772516
71.8|0.0|0.0|0.0|-134772.09507304535|-134771.414000565
72.0|0.0|0.0|0.0|-134467.570912621|-134466.72587824726
72.2|0.0|0.0|0.0|-134346.52092488937|-134345.94075203576
72.4|0.0|0.0|0.0|-134053.94480924122|-134052.8475258007
72.6|0.0|0.0|0.0|-134337.53629635976|-134336.02280195904
72.8|0.0|0.0|0.0|-133900.23184436123|-133894.2787663851
73.0|0.0|0.0|0.0|-134092.35935305347|-134091.1485575329
73.2|0.0|0.0|0.0|-133888.01011253323|-133886.76147965266
73.4|0.0|0.0|0.0|-133872.25154683072|-133871.77227360383
73.6|0.0|0.0|0.0|-133755.54851608298|-133753.15214994852
73.8|0.0|0.0|0.0|-133993.56673435215|-133990.81721952418
74.0|0.0|0.0|0.0|-133836.96660892793|-133834.01529484655
74.2|0.0|0.0|0.0|-133757.916605933|-133757.0589591059
74.4|0.0|0.0|0.0|-134216.61264918195|-134215.27572912796
74.6|0.0|0.0|0.0|-133843.89056196428|-133840.27078785593
74.8|0.0|0.0|0.0|-133939.36683374213|-133938.0677510482
75.0|0.0|0.0|0.0|-133993.15707175323|-133986.09409788324
75.2|0.0|0.0|0.0|-134009.68080295168|-134008.1420836443
75.4|0.0|0.0|0.0|-134018.42123311575|-134018.168984049
75.6|0.0|0.0|0.0|-133897.9426585319|-133897.05978679814
75.8|0.0|0.0|0.0|-133919.11787997198|-133917.78095991805
76.0|0.0|0.0|0.0|-133933.7638250027|-133930.06837617428
76.2|0.0|0.0|0.0|-133836.4067862527|-133833.98519521157
76.4|0.0|0.0|0.0|-134007.9918712563|-134005.21713152164
76.6|0.0|0.0|0.0|-134136.7348690108|-134135.1204749834
76.8|0.0|0.0|0.0|-134122.5896056484|-134121.47970975455
77.0|0.0|0.0|0.0|-134139.8056044564|-134136.9425775484
77.2|0.0|0.0|0.0|-134044.2472204219|-134042.54453922113
77.4|0.0|0.0|0.0|-134184.45972609858|-134183.6020792715
77.6|0.0|0.0|0.0|-134522.44825068276|-134521.61582876238
77.8|0.0|0.0|0.0|-134145.25056936292|-134141.5425080812
78.0|0.0|0.0|0.0|-134031.29705344315|-134029.72049677576
78.2|0.0|0.0|0.0|-134278.96291973145|-134277.67644949086
78.4|0.0|0.0|0.0|-134150.4680185518|-134143.4176571352
78.6|0.0|0.0|0.0|-134393.6179877841|-134392.5837666103
78.8|0.0|0.0|0.0|-134551.27365452427|-134550.84483111073
79.0|0.0|0.0|0.0|-134328.54709618125|-134327.348913114
79.2|0.0|0.0|0.0|-134282.8452360095|-134280.70111894183
79.4|0.0|0.0|0.0|-134393.83612995458|-134390.83436605983
79.6|0.0|0.0|0.0|-134251.69378082166|-134249.85236263412
79.8|0.0|0.0|0.0|-134357.9928499758|-134357.63970128229
80.0|0.0|0.0|0.0|-134289.29498689098|-134289.19408726427
80.2|0.0|0.0|0.0|-134471.05239048912|-134469.1226851282
80.4|0.0|0.0|0.0|-134553.033337194|-134551.11624428644
80.6|0.0|0.0|0.0|-134232.25194628586|-134229.03577068436
80.8|0.0|0.0|0.0|-134413.74027104696|-134411.87362795277
