times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(0.0, 0.0, 0.0)|(1.0, 0.0, 0.0)
49.2|0.0|0.0|0.0|-134235.56412769118|-134234.10108310386
49.4|0.0|0.0|0.0|-134266.73504341437|-134265.44857317375
49.6|0.0|0.0|0.0|-134311.46539319586|-134310.82215807555
49.8|0.0|0.0|0.0|-134609.07554100858|-134607.91519530138
50.0|0.0|0.0|0.0|-134545.08753762906|-134543.09477000145
50.2|0.0|0.0|0.0|-134879.58940312767|-134878.5047321405
50.4|0.0|0.0|0.0|-134480.6890855908|-134480.436836524
50.6|0.0|0.0|0.0|-134465.4005515108|-134463.23120953646
50.8|0.0|0.0|0.0|-134303.89533553075|-134303.2142630504
51.0|0.0|0.0|0.0|-134307.60744263386|-134306.08133577983
51.2|0.0|0.0|0.0|-134310.82361823536|-134309.10832458123
51.4|0.0|0.0|0.0|-134394.54451317523|-134392.2490466675
51.6|0.0|0.0|0.0|-134584.07107495787|-134583.21342813078
51.8|0.0|0.0|0.0|-134651.6634139004|-134651.2976527536
52.0|0.0|0.0|0.0|-134540.60687143452|-134540.10237330094
52.2|0.0|0.0|0.0|-134433.12277509764|-134431.6218931503
52.4|0.0|0.0|0.0|-134419.30997757404|-134418.33881866693
52.6|0.0|0.0|0.0|-134427.98734547143|-134427.48284733787
52.8|0.0|0.0|0.0|-134402.3241524836|-134402.0719034168
53.0|0.0|0.0|0.0|-134399.10062055435|-134397.65018842035
53.2|0.0|0.0|0.0|-134296.57245387527|-134295.8535440349
53.4|0.0|0.0|0.0|-134361.77975800785|-134360.594187394
53.6|0.0|0.0|0.0|-134298.46759755188|-134297.81174997825
53.8|0.0|0.0|0.0|-134290.849675735|-134288.61727149397
54.0|0.0|0.0|0.0|-134328.04748370644|-134326.35741495897
54.2|0.0|0.0|0.0|-134354.97808762547|-134352.72045847774
54.4|0.0|0.0|0.0|-134345.81693617144|-134344.63136555755
54.6|0.0|0.0|0.0|-134151.93830344104|-134151.4085804008
54.8|0.0|0.0|0.0|-134784.35193877583|-134783.11591834857
55.0|0.0|0.0|0.0|-134323.2396598712|-134323.1135353378
55.2|0.0|0.0|0.0|-134099.99923576714|-134097.80466888612
55.4|0.0|0.0|0.0|-134336.0104909775|-134335.0519445237
55.6|0.0|0.0|0.0|-134235.2369887972|-134233.77394420985
55.8|0.0|0.0|0.0|-134285.870087699|-134285.15117785867
56.0|0.0|0.0|0.0|-134508.68764826364|-134507.30027839632
56.2|0.0|0.0|0.0|-134626.58856582822|-134624.4948985739
56.4|0.0|0.0|0.0|-134680.7815226702|-134680.37792416333
56.6|0.0|0.0|0.0|-134526.57878624782|-134522.31577701913
56.8|0.0|0.0|0.0|-134793.5339736256|-134790.7087840776
57.0|0.0|0.0|0.0|-134419.09743371542|-134413.76236595295
57.2|0.0|0.0|0.0|-134635.5636412814|-134635.2483299479
57.4|0.0|0.0|0.0|-134341.05024335743|-134339.67548594344
57.6|0.0|0.0|0.0|-134368.36881729017|-134367.66251990318
57.8|0.0|0.0|0.0|-134384.2657817332|-134383.35768509278
58.0|0.0|0.0|0.0|-134618.70606440248|-134618.05021682882
58.2|0.0|0.0|0.0|-134616.04171729178|-134613.07779075706
58.4|0.0|0.0|0.0|-134489.81192811864|-134486.2299913703
58.6|0.0|0.0|0.0|-134750.97894004724|-134750.02039359347
58.8|0.0|0.0|0.0|-134450.85300038735|-134449.54130524007
59.0|0.0|0.0|0.0|-134613.57682584558|-134612.1642310716
59.2|0.0|0.0|0.0|-134606.38751963092|-134606.11004565743
59.4|0.0|0.0|0.0|-134184.97697068076|-134184.03103668033
59.6|0.0|0.0|0.0|-133982.83940286038|-133982.63760360694
59.8|0.0|0.0|0.0|-134214.14980082776|-134212.45973208032
60.0|0.0|0.0|0.0|-133945.24126628513|-133944.04308321793
60.2|0.0|0.0|0.0|-134189.21465832836|-134187.9155756344
60.4|0.0|0.0|0.0|-134024.8865663641|-134019.60194841496
60.6|0.0|0.0|0.0|-134068.07874630438|-134066.01030395675
60.8|0.0|0.0|0.0|-134183.10862563996|-134181.7464806793
61.0|0.0|0.0|0.0|-134218.38083909295|-134215.50519973165
61.2|0.0|0.0|0.0|-134191.58581019565|-134188.8362953677
61.4|0.0|0.0|0.0|-133964.83339311276|-133963.7487221256
61.6|0.0|0.0|0.0|-134047.17703837637|-134045.52480698895
61.8|0.0|0.0|0.0|-133980.51062467074|-133975.31429389503
62.0|0.0|0.0|0.0|-134320.2697015262|-134319.05890600564
62.2|0.0|0.0|0.0|-134570.04672745598|-134568.3818836152
62.4|0.0|0.0|0.0|-134173.65197728036|-134173.12225424012
62.6|0.0|0.0|0.0|-134068.36184328597|-134065.8015152581
62.8|0.0|0.0|0.0|-134147.75802978766|-134146.67335880047
63.0|0.0|0.0|0.0|-134099.9867813077|-134094.2859523984
63.2|0.0|0.0|0.0|-133843.18461886802|-133842.7557954545
63.4|0.0|0.0|0.0|-134088.86627077483|-134088.21042320118
63.6|0.0|0.0|0.0|-134321.3654502945|-134319.7258313604
63.8|0.0|0.0|0.0|-134246.11539006524|-134242.81092729038
64.0|0.0|0.0|0.0|-134400.09097858914|-134399.78827970903
64.2|0.0|0.0|0.0|-134281.32030997443|-134280.71491221417
64.4|0.0|0.0|0.0|-134585.88583320973|-134584.70026259584
64.6|0.0|0.0|0.0|-134400.03424304628|-134399.64325699277
64.8|0.0|0.0|0.0|-134478.84288912482|-134478.46451552463
65.0|0.0|0.0|0.0|-134498.7821707846|-134496.53715409024
65.2|0.0|0.0|0.0|-134176.60989458105|-134171.21176455184
65.4|0.0|0.0|0.0|-134007.16338051707|-134005.42286195626
65.6|0.0|0.0|0.0|-134163.191156308|-134161.99297324076
65.8|0.0|0.0|0.0|-134332.4875783961|-134332.15965460928
66.0|0.0|0.0|0.0|-134369.2461533784|-134368.23715711123
66.2|0.0|0.0|0.0|-134149.7011781027|-134149.46154148926
66.4|0.0|0.0|0.0|-133827.36470811247|-133826.80976016552
66.6|0.0|0.0|0.0|-134015.1105037038|-134012.55017567595
66.8|0.0|0.0|0.0|-133864.27817422018|-133860.84758691193
67.0|0.0|0.0|0.0|-134081.14321560273|-134079.97025744218
67.2|0.0|0.0|0.0|-133951.35475670357|-133950.9763831034
67.4|0.0|0.0|0.0|-133803.8476667816|-133802.58642144766
67.6|0.0|0.0|0.0|-133910.1780134638|-133908.81586850315
67.8|0.0|0.0|0.0|-133930.67325014|-133929.12191837927
68.0|0.0|0.0|0.0|-134211.6883762707|-134210.55325547015
68.2|0.0|0.0|0.0|-134423.51560601057|-134422.56967201014
68.4|0.0|0.0|0.0|-134048.92574183593|-134047.7149463154
68.6|0.0|0.0|0.0|-134018.01261870156|-134017.2684839545
68.8|0.0|0.0|0.0|-134067.22641163116|-134065.9777787506
69.0|0.0|0.0|0.0|-134206.68392591062|-134205.01908206983
69.2|0.0|0.0|0.0|-134240.0202677309|-134238.30497407677
69.4|0.0|0.0|0.0|-134435.51642776607|-134435.08760435253
69.6|0.0|0.0|0.0|-134201.12664731347|-134199.4996408327
69.8|0.0|0.0|0.0|-134296.8173307981|-134295.0768122373
70.0|0.0|0.0|0.0|-134220.8681212194|-134219.9726370323
70.2|0.0|0.0|0.0|-134349.89939110365|-134348.09581027614
70.4|0.0|0.0|0.0|-134389.7909698478|-134389.16034718082
70.6|0.0|0.0|0.0|-134317.56624786847|-134316.11581573446
70.8|0.0|0.0|0.0|-134315.30861872074|-134314.85457040055
71.0|0.0|0.0|0.0|-134271.14897475086|-134269.37061883003
71.2|0.0|0.0|0.0|-134091.53861527608|-134088.66297591472
71.4|0.0|0.0|0.0|-134323.54795119708|-134322.63985455662
71.6|0.0|0.0|0.0|-133963.29929652717|-133961.83625193982
71.8|0.0|0.0|0.0|-133835.13014107867|-133834.47429350502
72.0|0.0|0.0|0.0|-134137.55622751368|-134136.3075946331
72.2|0.0|0.0|0.0|-133939.07404931448|-133936.48849637996
72.4|0.0|0.0|0.0|-133714.71225835825|-133713.0600269708
72.6|0.0|0.0|0.0|-133533.06770536694|-133532.46230760665
72.8|0.0|0.0|0.0|-133936.23795162034|-133934.96409383308
73.0|0.0|0.0|0.0|-133709.6098506098|-133708.89094076946
73.2|0.0|0.0|0.0|-133810.32537450336|-133806.31461434148
